year,month,day,atm(hPa),Rav(mm),Rmax_day(mm),Rmax_hr(mm),Rmax_10min(mm),Tav(¢J),Tav_max(¢J),Tav_min(¢J),T_max(¢J),T_min(¢J),Hav(¢H),H_min(¢H),sun (h),sunshine (MJ/¢T),snow(cm),snow_max(cm),snow_depth(cm),cloud,snow_day,fog_day,thunder_day,Label
2008,1,1 to  5,1004.6,4,3.5,1,0.5,-1.9,0.8,-5,1.6,-6.2,70,45,17.9,6,8,5,8,8.6,5,0,0,0
2008,1,6 to 10,1009.4,10.5,7.5,2.5,1,-2.8,0.8,-7.2,2.7,-10.1,71,38,6.5,4.4,34,21,20,8.7,5,0,0,0
2008,1,11 to 15,1014.3,7,2.5,1,0.5,-5.1,-2.3,-7.7,0.2,-9.5,66,40,18.9,6.8,29,11,23,6.6,5,0,0,0
2008,1,16 to 20,1018.8,3,2.5,0.5,0.5,-6.4,-2.3,-11.6,-1.2,-12.1,63,36,27.9,8.1,8,7,22,5.4,5,0,0,0
2008,1,21 to 25,1009.9,16.5,14.5,3.5,1.5,-3.3,0.1,-7.2,2.9,-12.4,69,41,11.6,6.3,22,15,28,8.5,4,0,0,0
2008,1,26 to 31,1008.8,1.5,1,0.5,0.5,-3.3,-0.1,-6.7,2.1,-11.5,65,39,20.7,7.3,9,5,28,6.8,5,0,0,0
2008,2,1 to  5,1010.9,0.5,0.5,0.5,0.5,-3.8,0,-7.7,1.7,-10.9,66,35,34.7,10.2,10,4,24,5.8,5,0,0,0
2008,2,6 to 10,1012.4,0,0,0,0,-2.8,0.9,-6.6,2.6,-9.6,64,31,16.3,8.3,2,2,23,7.2,5,0,0,0
2008,2,11 to 15,1002.8,26,8,4,1.5,-3.4,-0.4,-6.9,3.6,-11,72,43,6.7,7.4,33,16,41,8.9,5,0,0,0
2008,2,16 to 20,1012.9,0,0,0,0,-2.3,2.2,-7.7,4.4,-9.5,63,33,30.5,11.7,2,2,31,4.3,4,0,0,0
2008,2,21 to 25,1006.6,14,6,3,1.5,-1.4,2.1,-5.6,5.1,-10.6,69,39,20.2,8.9,18,7,32,8,5,0,0,0
2008,2,26 to 29,998.7,12.5,11.5,3.5,1,-0.5,3.4,-4.4,7.9,-9,66,39,12.6,8.7,9,6,30,7.2,3,0,0,0
2008,3,1 to  5,1005.5,1,0.5,0.5,0.5,-0.2,3.1,-2.7,4,-3.2,70,45,9.9,8.9,9,4,24,9.1,5,0,0,0
2008,3,6 to 10,1011.5,1,0.5,0.5,0.5,3.2,7.5,-1.2,11.5,-4.6,65,28,35.1,14.6,7,4,19,4.7,2,0,0,0
2008,3,11 to 15,1014.3,7,6,1.5,0.5,4.5,8.3,0.8,10.3,-2.8,71,34,23.5,10.6,0,0,0,6.3,1,0,0,0
2008,3,16 to 20,1013,7,6.5,5,1.5,4.8,8.8,0.9,10.3,0.3,73,39,18.4,10.1,0,0,0,8.1,0,0,0,0
2008,3,21 to 25,1011,3,3,1.5,0.5,6.2,11.2,1.3,13.5,-1,66,25,38.6,15.3,0,0,0,5.6,0,0,0,0
2008,3,26 to 31,1006.9,6.5,5,2.5,1,4,8.1,0.1,9.6,-3.2,73,33,27.8,13.2,0,0,0,7.2,0,0,0,0
2008,4,1 to  5,1002.1,8.5,5,3,1,5.9,10,2.9,12.7,1.8,62,18,25.5,13.7,0,0,0,7.3,0,0,0,0
2008,4,6 to 10,1012.8,0,0,0,0,8.1,13.5,3.2,15.6,1.2,63,19,23,15.2,0,0,0,7.9,0,1,0,0
2008,4,11 to 15,1011,3,2.5,1,0.5,6.7,10.3,2.9,14.2,-1.2,74,29,23.4,13,0,0,0,6.9,0,0,0,0
2008,4,16 to 20,1015.6,0,0,0,0,10.5,16.1,5.6,19.9,4.6,66,17,40.1,16.15,0,0,0,7.5,0,1,0,1
2008,4,21 to 25,1010.2,9,9,4,1,10.8,16.5,5.6,20.9,3.9,56,8,37.1,16.15,0,0,0,4.2,0,0,0,0
2008,4,26 to 30,1007.9,4,4,1,0.5,9.6,15,5,17.6,1.5,63,18,21.1,16.15,0,0,0,8.4,0,0,0,0
2008,5,1 to  5,1005.7,8.5,8.5,3.5,1,13.4,19.1,8.6,24.4,7.8,72,28,37.3,16.15,0,0,0,6,0,1,0,0
2008,5,6 to 10,1004.7,1.5,1,1,0.5,10.6,16.1,5.4,19.5,1,60,21,48.4,16.15,0,0,0,4.2,0,0,0,0
2008,5,11 to 15,1013.3,5.5,5,2,1,8.5,12.3,4.4,13.8,1.4,71,39,27.6,16.15,0,0,0,5.7,0,0,0,0
2008,5,16 to 20,1006.6,40.5,40.5,7.5,4.5,13.5,17.9,8.9,19.8,7,74,43,34,19.3,0,0,0,5.4,0,0,0,0
2008,5,21 to 25,1004.5,17,14,5,1.5,14.1,18.6,10.9,20.4,9.8,75,42,36.2,19.1,0,0,0,7.5,0,0,1,0
2008,5,26 to 31,1006.9,5.5,4,1.5,0.5,10.6,14.4,7.4,18.6,4.3,75,45,18.4,13,0,0,0,8.4,0,0,0,0
2008,6,1 to  5,1011.9,8.5,8.5,3.5,1,13.6,17.8,9.8,23.2,8.5,76,32,27.6,17.2,0,0,0,8.6,0,0,0,0
2008,6,6 to 10,1004.2,11.5,11.5,2.5,1.5,16,20.3,12.5,21.9,11.2,80,57,27.8,17,0,0,0,7.2,0,4,0,0
2008,6,11 to 15,1004.4,3.5,3.5,3,1,15.5,20.6,10.4,23.2,8,66,24,41.5,23,0,0,0,5.7,0,0,1,0
2008,6,16 to 20,1008,10,9.5,6.5,2,17,21.5,13.1,23.7,10.8,75,39,25,17,0,0,0,8,0,0,0,0
