year,month,day,atm(hPa),Rav(mm),Rmax_day(mm),Rmax_hr(mm),Rmax_10min(mm),Tav(вJ),Tav_max(вJ),Tav_min(вJ),T_max(вJ),T_min(вJ),Hav(вH),H_min(вH),sun (h),snow(cm),snow_max(cm),snow_depth(cm),cloud,snow_day,fog_day,thunder_day,Label
2008,1,1бу 5,1012.4,0,0,0,0,4.7,9.6,0.9,11.5,-0.6,63,36,25.7,0,0,0,6.2,2,0,0,0
2008,1,6бу10,1013.9,0,0,0,0,7,12.1,2.8,13.9,0.5,66,31,31,0,0,0,5.8,0,0,0,0
2008,1,11бу15,1016.5,23.5,18.5,6.5,3,5.5,9.2,2.2,12.4,-0.5,65,36,14.5,0,0,0,7.7,3,0,0,0
2008,1,16бу20,1021,5,4.5,1,0.5,3.4,7.8,1.1,10.7,-0.1,65,33,22,0,0,0,7.7,2,0,0,0
2008,1,21бу25,1014.5,11,10.5,2,0.5,3.9,6.9,1.3,7.5,-0.3,71,49,8.8,0,0,0,8.5,2,0,0,0
2008,1,26бу31,1013.6,7.5,5.5,1,0.5,3.6,6.8,1.4,8.8,-0.4,70,44,8,0,0,0,8.9,3,0,0,0
2008,2,1бу 5,1012.9,11.5,9.5,2,0.5,3.5,7.4,1,9.8,0.6,71,41,11.6,0,0,0,8,2,0,0,0
2008,2,6бу10,1013,13.5,13,3.5,1,3,7.4,0.3,10.6,-0.1,71,41,14.9,5,3,3,7.7,3,0,0,0
2008,2,11бу15,1011.7,8.5,6,1.5,0.5,3.3,7.8,-0.4,12.3,-1.9,65,32,24.4,4,4,4,7,4,0,0,0
2008,2,16бу20,1020,1.5,1,0.5,0.5,3.3,8.2,0.2,11.7,-0.7,64,30,23.2,1,1,1,6.7,3,0,0,0
2008,2,21бу25,1015,4,2.5,1,0.5,4.2,10.1,-0.5,14.3,-2.2,60,19,29.3,3,1,2,6.8,3,0,0,0
2008,2,26бу29,1008.4,22,19,6.5,1.5,4.2,8.7,0.6,12.2,-0.8,66,33,17.4,0,0,0,8.2,3,0,0,0
2008,3,1бу 5,1009.3,4,2.5,1.5,0.5,5.5,10.2,2.3,11.9,1,61,24,21,0,0,0,7.2,1,0,0,0
2008,3,6бу10,1016.4,10.5,9.5,2.5,1.5,7,13.2,1.6,16.5,-0.6,62,28,30.1,0,0,0,5.4,0,0,0,0
2008,3,11бу15,1015.3,30.5,30.5,7.5,3,11.6,17.6,6.4,19.9,3.6,62,22,30.9,0,0,0,3.8,0,0,0,0
2008,3,16бу20,1009.7,41.5,29.5,4.5,1.5,11.6,16.9,6.5,20.6,3.6,57,8,29.1,0,0,0,6.4,0,0,0,1
2008,3,21бу25,1008.7,17,16,8,2,12.7,19.2,7.2,21.6,5,56,17,35.1,0,0,0,5.9,0,0,0,0
