year,month,day,atm(hPa),Rav(mm),Rmax_day(mm),Rmax_hr(mm),Rmax_10min(mm),Tav(¢J),Tav_max(¢J),Tav_min(¢J),T_max(¢J),T_min(¢J),Hav(¢H),H_min(¢H),sun (h),sunshine (MJ/¢T),snow(cm),snow_max(cm),snow_depth(cm),cloud,snow_day,fog_day,thunder_day,Label
2008,1,1 to  5,1009.2,0,0,0,0,6.2,10.7,2.2,12.1,1.1,42,16,37.8,10.4,0,0,0,1.6,0,0,0,0
2008,1,6 to 10,1011.4,0,0,0,0,9,12.9,4.7,13.9,2,58,29,30,8.4,0,0,0,3.8,0,0,0,0
2008,1,11 to 15,1015.4,6,6,2,0.5,6.1,9.1,3.3,13,1.9,45,23,15.5,6,0,0,0,7.4,0,0,0,0
2008,1,16 to 20,1020.2,0,0,0,0,4.6,8,2,9.8,1.2,37,18,26.5,9.3,0,0,0,8,2,0,0,0
2008,1,21 to 25,1012.9,10.5,10.5,2,0.5,4.1,6.9,1.7,8.9,0.8,47,19,22.1,7.9,0,0,0,6.7,1,0,0,0
2008,1,26 to 31,1011.6,1,1,0.5,0.5,5.4,8.8,2.3,12.2,0.8,41,18,32.9,9.7,0,0,0,5.3,0,0,0,0
2008,2,1 to  5,1012.2,23,23,2.5,0.5,4.3,7.8,1.3,9.4,-0.1,52,19,27,9.7,3,3,3,5.1,2,0,0,0
2008,2,6 to 10,1011.9,16.5,11.5,4,1,4.3,8,1.3,10.8,0.5,50,17,21.7,10.6,1,1,1,6.5,4,0,0,0
2008,2,11 to 15,1008.2,6.5,6.5,2,0.5,5.4,8.9,2.1,10.4,0,40,12,39.9,13.5,0,0,0,4.4,0,0,0,0
2008,2,16 to 20,1016.8,0,0,0,0,5.3,9.3,1.7,11.2,1,34,15,45.6,15.7,0,0,0,1.9,0,0,0,0
2008,2,21 to 25,1011.1,0,0,0,0,6.8,12.1,2.2,17,0.7,34,15,48.5,16.5,0,0,0,3.3,0,0,0,0
2008,2,26 to 29,1004.4,11,10.5,9.5,2.5,7.4,11.9,3,14.2,2.9,37,14,32.1,16.1,0,0,0,5,0,0,0,0
2008,3,1 to  5,1006.5,0.5,0.5,0.5,0.5,8.2,12.5,4.8,14.4,3.6,39,15,33.9,14.5,0,0,0,4.5,0,0,0,0
2008,3,6 to 10,1015,8,4,4,2.5,8.6,13.1,4.1,15.6,2.8,43,13,37.8,15.5,0,0,0,3.8,0,0,1,0
2008,3,11 to 15,1016.9,37.5,34.5,10,3.5,12.1,16.3,8.2,19.4,5.8,59,20,38.6,15.8,0,0,0,4.4,0,0,1,0
2008,3,16 to 20,1012.1,38,29.5,4,1,12.3,15.5,9.9,19.1,7.8,63,37,16.4,10.7,0,0,0,8.6,0,0,0,0
2008,3,21 to 25,1010,8.5,8,5,1.5,11.4,15.9,7.7,18.1,7.1,55,17,29.4,14.7,0,0,0,6.1,0,0,0,1
2008,3,26 to 31,1006.2,27,19.5,5,2,11.3,15.7,8.1,20.4,5.7,53,21,31.1,14,0,0,0,6.7,0,0,0,3
